model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
LocalOutlierFactor,1,0.41333,0.45,0.4,0.4666666666666667,0.2,0.7,-0.11547,[0.  0.1 0.1 0.2 0.2 0.8 1.  1. ],[0.  0.  0.1 0.1 0.2 0.7 0.7 1. ],0.5800000000000001,6
IsolationForest,1,0.44862,0.45,0.4444444444444444,0.45454545454545453,0.4,0.5,-0.1005,[0.  0.1 0.4 0.4 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.1 0.1 0.4 0.4 0.7 0.7 0.8 0.8 1.  1. ],0.63,6
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.3 0.4 0.5 0.5 0.7 0.7 0.7 0.8 1. ],[0.  0.  0.  0.1 0.2 0.2 0.3 0.3 0.4 0.6 0.9 1. ],0.64,6
RandomForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.4 0.6 0.6 0.6 1. ],[0.  0.  0.  0.2 0.5 0.6 0.8 1. ],0.56,0
DecisionTree,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.4 0.6 0.6 0.8 0.8 1. ],[0.  0.  0.  0.2 0.3 0.4 0.7 0.9 1. ],0.64,0
KNN,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
OneClassSVM,2,0.34837,0.35,0.36363636363636365,0.3333333333333333,0.4,0.3,-0.30151,[0.  0.1 0.3 0.4 0.6 0.8 1.  1.  1. ],[0.  0.  0.1 0.3 0.3 0.6 0.7 0.8 1. ],0.6900000000000001,0
LocalOutlierFactor,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
IsolationForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 0.3 0.5 0.7 0.7 0.9 1.  1. ],[0.  0.3 0.5 0.5 0.6 0.7 0.8 0.8 1. ],0.49,0
Xgboost,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.4 0.6 0.8 0.8 1. ],[0.  0.  0.  0.2 0.3 0.6 0.9 1. ],0.66,0
RandomForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.4 0.4 0.5 0.5 1. ],[0.  0.1 0.2 0.2 0.5 0.6 0.9 1. ],0.395,1
DecisionTree,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.3 0.3 1. ],[0.  0.1 0.2 0.4 1. ],0.465,1
KNN,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.3 0.3 0.6 0.6 0.7 1. ],[0.  0.1 0.1 0.5 0.5 0.6 0.6 1. ],0.52,1
OneClassSVM,2,0.30667,0.35,0.4,0.2,0.6,0.1,-0.34641,[0.  0.1 0.1 0.4 0.4 0.9 0.9 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 1. ],0.84,1
LocalOutlierFactor,2,0.33504,0.35,0.2857142857142857,0.38461538461538464,0.2,0.5,-0.31449,[0.  0.  0.2 0.2 0.8 0.8 1. ],[0.  0.1 0.1 0.3 0.3 1.  1. ],0.6,1
IsolationForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.6 0.6 0.8 0.8 1. ],[0.  0.1 0.1 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.24000000000000002,1
Xgboost,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.3 0.4 0.6 0.7 0.7 1. ],[0.  0.1 0.1 0.3 0.3 0.3 0.3 0.9 1. ],0.545,1
RandomForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 0. 1.],[0.  0.1 1. ],0.45,2
DecisionTree,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.  0.1 0.1 1. ],[0.  0.1 0.2 0.2 0.3 1. ],0.395,2
KNN,2,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0. 0. 1.],[0.  0.2 1. ],0.4,2
OneClassSVM,2,0.40476,0.5,0.5,0.5,0.9,0.1,0.0,[0.  0.  0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 1. ],0.55,2
LocalOutlierFactor,2,0.47917,0.5,0.5,0.5,0.7,0.3,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.6 0.9 0.9 1.  1. ],0.59,2
IsolationForest,2,0.48718,0.55,0.6666666666666666,0.5294117647058824,0.2,0.9,0.14003,[0.  0.  0.  0.2 0.3 0.4 0.4 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],0.44499999999999995,2
